"X18S_BL040126_022." "X18S_BL040223_022." "X18S_BL040322_022." "X18S_BL040419_022." "X18S_BL040525_022." "X18S_BL040628_022." "X18S_BL040719_022." "X18S_BL040831_022." "X18S_BL040929_022." "X18S_BL041019_022." "X18S_BL041116_022." "X18S_BL041214_022." "X18S_BL050120_022." "X18S_BL050215_022." "X18S_BL050309_022." "X18S_BL050413_022." "X18S_BL050510_022." "X18S_BL050607_022." "X18S_BL050705_022." "X18S_BL050803_022." "X18S_BL050913_022." "X18S_BL051004_022." "X18S_BL051108_022." "X18S_BL051213_022."
"OTU_1081" 0 0 0 0 0 0 0 0 0 0 188 0 0 0 0 0 0 0 0 0 11 0 0 0
"OTU_1082" 0 0 0 0 0 0 0 151 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
"OTU_1083" 9 101 23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0
"OTU_1084" 0 0 0 0 0 0 0 0 40 0 1 0 32 0 0 0 0 0 0 0 0 0 0 113
"OTU_1085" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 139 0
"OTU_1086" 0 0 0 0 0 0 0 0 0 0 0 0 0 104 0 0 0 0 0 0 0 0 0 0
"OTU_1087" 0 0 0 0 0 0 0 0 0 13 64 4 13 0 0 0 0 0 0 0 0 0 30 74
"OTU_1088" 783 2 14 0 0 0 0 0 0 0 33 13 403 19 0 0 0 0 0 0 159 25 15 581
"OTU_1089" 0 0 0 0 0 0 0 0 52 66 0 0 12 0 0 0 0 0 0 0 0 0 0 8
"OTU_109" 137 80 8 21 0 0 0 0 36 23 521 167 174 29 0 140 0 0 0 0 37 1 320 2049
"OTU_1090" 0 0 0 0 0 0 0 0 165 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"OTU_1091" 0 0 83 0 0 0 0 0 0 0 0 0 50 0 0 0 0 0 0 0 0 2 0 3
"OTU_1092" 0 0 0 0 0 132 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"OTU_1093" 0 0 0 0 0 0 0 0 0 0 17 0 74 0 0 0 0 0 0 0 0 0 0 50
"OTU_1094" 27 3 359 0 0 0 0 0 0 0 27 1 110 0 0 0 21 0 0 0 3 0 0 97
"OTU_1095" 156 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"OTU_1096" 0 0 0 0 0 0 0 138 0 2 12 0 0 0 0 0 7 0 0 0 0 0 0 23
"OTU_1097" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 118 0
"OTU_1098" 0 0 0 0 129 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 8 0 0 3
"OTU_1099" 0 0 0 90 0 0 0 0 0 0 0 0 0 0 0 0 0 0 34 0 0 0 0 0
"OTU_11" 0 1 20 6 25317 0 0 0 0 4 6 34 30 0 14 1 17 10 1182 627 3 14 101 137
"OTU_110" 0 1682 0 0 14 2104 0 3 0 0 16 0 194 0 0 0 0 0 0 0 0 0 90 0
"OTU_1100" 121 0 0 0 0 0 0 0 0 0 13 0 0 0 0 0 0 0 0 0 0 71 0 26
"OTU_1101" 0 0 0 0 0 0 0 110 0 0 22 0 0 0 0 0 0 0 0 0 0 0 0 7
